Owner        Size       Last_Modify_Time Name                                              
informix       976.56M  Oct 01  01:19    /ach_dat2/ach_dat2.1                              
informix       976.56M  Dec 04  2016     /ach_dat2/ach_dat2.10                             
informix       976.56M  Jul 02  00:43    /ach_dat2/ach_dat2.11                             
informix       976.56M  Sep 03  00:57    /ach_dat2/ach_dat2.12                             
informix       976.56M  Oct 01  01:12    /ach_dat2/ach_dat2.13                             
informix       976.56M  Oct 01  01:19    /ach_dat2/ach_dat2.14                             
informix       976.56M  Oct 01  01:19    /ach_dat2/ach_dat2.15                             
informix       976.56M  Oct 01  01:19    /ach_dat2/ach_dat2.16                             
informix       976.56M  Oct 01  01:19    /ach_dat2/ach_dat2.17                             
informix       976.56M  Apr 02  2017     /ach_dat2/ach_dat2.18                             
informix       976.56M  May 07  00:22    /ach_dat2/ach_dat2.19                             
informix       976.56M  Feb 05  2017     /ach_dat2/ach_dat2.2                              
informix       976.56M  May 07  01:08    /ach_dat2/ach_dat2.20                             
informix       976.56M  Jun 04  00:53    /ach_dat2/ach_dat2.21                             
informix       976.56M  Jul 02  00:32    /ach_dat2/ach_dat2.22                             
informix       976.56M  Aug 13  00:27    /ach_dat2/ach_dat2.23                             
informix       976.56M  Sep 03  00:25    /ach_dat2/ach_dat2.24                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.25                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.26                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.27                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.28                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.29                             
informix       976.56M  Oct 01  00:28    /ach_dat2/ach_dat2.3                              
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.30                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.31                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.32                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.33                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.34                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.35                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.36                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.37                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.38                             
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.39                             
informix       976.56M  Oct 01  01:19    /ach_dat2/ach_dat2.4                              
informix       976.56M  Jan 28  2016     /ach_dat2/ach_dat2.40                             
